"year","K","nodeID","nodeLabel","nodeLat","nodeLong","raw_block","destination_role_rank","origin_role_rank","raw_in_strength","raw_out_strength","fitted_in_mean","fitted_out_mean","fitted_in_rank01","destination_core_rank","is_destination_core","is_regional_destination_core"
"2015",2,"1","Abai",47.028736,18.517633,1,2,2,0,580,5.60371100164184,9.20804597701122,0.497126436781609,26,FALSE,FALSE
"2015",2,"2","Abauj-Hegykozi",48.471017,21.2741752,1,2,2,0,391,5.60371100164184,9.20804597701122,0.497126436781609,100,FALSE,FALSE
"2015",2,"3","Adonyi",47.119574,18.8652611,1,2,2,0,627,5.60371100164184,9.20804597701122,0.497126436781609,109,FALSE,FALSE
"2015",2,"4","Ajkai",47.1068802,17.563957,1,2,2,0,981,5.60371100164184,9.20804597701122,0.497126436781609,118,FALSE,FALSE
"2015",2,"5","Aszodi",47.6523763,19.4759463,1,2,2,0,1342,5.60371100164184,9.20804597701122,0.497126436781609,127,FALSE,FALSE
"2015",2,"6","Bacsalmasi",46.123955,19.32633,1,2,2,0,397,5.60371100164184,9.20804597701122,0.497126436781609,136,FALSE,FALSE
"2015",2,"7","Bajai",46.1834182,18.9538158,1,2,2,968,2469,5.60371100164184,9.20804597701122,0.497126436781609,19,TRUE,TRUE
"2015",2,"8","Baktaloranthazai",47.997697,22.0766029,1,2,2,0,1054,5.60371100164184,9.20804597701122,0.497126436781609,155,FALSE,FALSE
"2015",2,"9","Balassagyarmati",48.078798,19.2938953,1,2,2,0,1391,5.60371100164184,9.20804597701122,0.497126436781609,166,FALSE,FALSE
"2015",2,"10","Balatonalmadi",47.0286976,18.0148627,1,2,2,0,923,5.60371100164184,9.20804597701122,0.497126436781609,27,FALSE,FALSE
"2015",2,"11","Balatonfoldvari",46.8497238,17.8794039,1,2,2,0,337,5.60371100164184,9.20804597701122,0.497126436781609,36,FALSE,FALSE
"2015",2,"12","Balatonfuredi",46.9564612,17.8889631,1,2,2,0,1057,5.60371100164184,9.20804597701122,0.497126436781609,46,FALSE,FALSE
"2015",2,"13","Balmazujvarosi",47.612435,21.343577,1,2,2,0,777,5.60371100164184,9.20804597701122,0.497126436781609,56,FALSE,FALSE
"2015",2,"14","Barcsi",45.959228,17.4666786,1,2,2,0,582,5.60371100164184,9.20804597701122,0.497126436781609,65,FALSE,FALSE
"2015",2,"15","Batonyterenyei",47.989222,19.828845,1,2,2,0,377,5.60371100164184,9.20804597701122,0.497126436781609,74,FALSE,FALSE
"2015",2,"16","Bekescsabai",46.6841987,21.0867872,1,2,2,0,3192,5.60371100164184,9.20804597701122,0.497126436781609,82,FALSE,FALSE
"2015",2,"17","Bekesi",46.6704899,21.0434996,1,2,2,0,1247,5.60371100164184,9.20804597701122,0.497126436781609,92,FALSE,FALSE
"2015",2,"18","Belapatfalvai",48.052725,20.348591,1,2,2,0,290,5.60371100164184,9.20804597701122,0.497126436781609,98,FALSE,FALSE
